Fighter
1
10
2
3
9
A.J. Dobson
A.J. Fletcher
AJ Cunningham
AJ Dobson
AJ Fletcher
ARCO Arena
Aalon Cruz
Aaron Brink
Aaron Phillips
Aaron Riley
Aaron Rosa
Aaron Simpson
Aaron Wilkinson
Abdul Razak Alhassan
Abdul-Kareem Al-Selwady
Abdul-Kerim Edilov
Abe Wagner
Abel Trujillo
Abner Lloveras
Abu Azaitar
Abubakar Nurmagomedov
Abusupiyan Magomedov
Adam Cella
Adam Fugitt
Adam Milstead
Adam Wieczorek
Adam Yandiev
Adlan Amagov
Adrian Serrano
Adrian Yañez
Adriano Martins
Adriano Santos
Aiemann Zahabi
Ailín Pérez
Air Canada Centre
Aisling Daly
Akbarh Arreola
Akihiro Gono
Akira Corassani
Al Iaquinta
Alan Baudot
Alan Belcher
Alan Jouban
Alan Omer
Alan Patrick
Alateng Heili
Albert Cheng
Albert Duraev
Albert Morales
Albert Tumenov
Alberto Cerro Leon
Alberto Crane
Alberto Mina
Alberto Uda
Alejandro Pérez
Aleksa Camur
Aleksandar Rakić
Aleksandra Albu
Aleksandre Topuria
Aleksei Oleinik
Alen Amedovski
Alessandro Costa
Alessandro Ricci
Alessio Di Chirico
Alessio Sakara
Alex Andrade
Alex Caceres
Alex Chambers
Alex Garcia
Alex Gorgees
Alex Hunter
Alex Karalexis
Alex Morono
Alex Nicholson
Alex Oliveira
Alex Pereira
Alex Pereira(c)
Alex Perez
Alex Reyes
Alex Schoenauer
Alex Soto
Alex Stiebling
Alex Torres
Alex White
Alex da Silva Coelho
Alexa Grasso
Alexa Grasso(c)
Alexander Gustafsson
Alexander Hernandez
Alexander Munoz
Alexander Muñoz
Alexander Romanov
Alexander Volkanovski
Alexander Volkanovski(c)
Alexander Volkov
Alexander Yakovlev
Alexandre Barros
Alexandre Dantas
Alexandre Ferreira
Alexandre Pantoja
Alexandre Pantoja(c)
Alexey Kunchenko
Alexey Oleynik
Alexia Thainara
Alexis Davis
Alexis Dufresne
Alfonso Alcarez
Ali AlQaisi
Ali Bagautinov
Aliaskhab Khizriev
Alice Ardelean
Alistair Overeem
Aljamain Sterling
Aljamain Sterling(c)
Allan Góes
Allan Nascimento
Allan Zuñiga
Allen Berube
Allen Crowder
Allphones Arena
Alonzo Menifield
Alp Ozkilic
Alptekin Özkılıç
Alvin Robinson
Amanda Cooper
Amanda Lemos
Amanda Nunes
Amanda Nunes(c)
Amanda Ribas
Amar Suloev
Amaury Bitetti
Amilcar Alves
Amir Albazi
Amir Sadollah
Anderson Silva
Anderson Silva(UFC Champion)
Anderson Silva(c)
Anderson dos Santos
Andre Ewell
Andre Fili
Andre Petroski
Andre Roberts
Andre Soukhamthath
Andre Winner
Andrea Lee
Andreas Michailidis
Andreas Ståhl
Andrei Arlovski
Andrei Arlovski(c)
Andrei Arlovski(ic)
Andrei Semenov
Andrew Craig
Andrew Holbrook
Andrew Sanchez
Andrey Pulyaev
André Fialho
André Gusmão
André Lima
André Muniz
André Pederneiras
Andy Anderson
Andy Enz
Andy Main
Andy Ogle
Andy Wang
Ange Loosa
Angel Pacheco
Angela Hill
Angela Magaña
Anistavio Medeiros
Anna Elmose
Ansar Chalangov
Anshul Jubli
Anthony Birchak
Anthony Christodoulou
Anthony Hamilton
Anthony Hernandez
Anthony Ivy
Anthony Johnson
Anthony Lapsley
Anthony Macias
Anthony Njokuani
Anthony Perosh
Anthony Pettis
Anthony Pettis(c)
Anthony PettisdefeatsBenson HendersonUFC 164
Anthony Rocco Martin
Anthony Smith
Anthony Torres
Anton Kuivanen
Anton Turkalj
